         39783905 function calls (39783804 primitive calls) in 131.384 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.000    0.000 __init__.py:315(_subx)
        4    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
        4    0.000    0.000    0.000    0.000 __init__.py:96(<lambda>)
       19    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
       19    0.000    0.000    0.000    0.000 _compiler.py:241(_optimize_charset)
       10    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
     22/4    0.000    0.000    0.001    0.000 _compiler.py:37(_compile)
        4    0.000    0.000    0.000    0.000 _compiler.py:384(_mk_bitmap)
        4    0.000    0.000    0.000    0.000 _compiler.py:386(<listcomp>)
        4    0.000    0.000    0.000    0.000 _compiler.py:396(_simple)
        1    0.000    0.000    0.000    0.000 _compiler.py:405(_generate_overlap_table)
        9    0.000    0.000    0.000    0.000 _compiler.py:426(_get_iscased)
      6/4    0.000    0.000    0.000    0.000 _compiler.py:434(_get_literal_prefix)
        3    0.000    0.000    0.000    0.000 _compiler.py:465(_get_charset_prefix)
        4    0.000    0.000    0.000    0.000 _compiler.py:509(_compile_info)
        8    0.000    0.000    0.000    0.000 _compiler.py:568(isstring)
        4    0.000    0.000    0.001    0.000 _compiler.py:571(_code)
        4    0.000    0.000    0.004    0.001 _compiler.py:738(compile)
        1    0.000    0.000    0.000    0.000 _parser.py:1006(addgroup)
       23    0.000    0.000    0.000    0.000 _parser.py:109(__init__)
       35    0.000    0.000    0.000    0.000 _parser.py:158(__len__)
      106    0.000    0.000    0.000    0.000 _parser.py:162(__getitem__)
        4    0.000    0.000    0.000    0.000 _parser.py:166(__setitem__)
       37    0.000    0.000    0.000    0.000 _parser.py:170(append)
    28/10    0.000    0.000    0.000    0.000 _parser.py:172(getwidth)
        6    0.000    0.000    0.000    0.000 _parser.py:222(__init__)
      181    0.000    0.000    0.000    0.000 _parser.py:231(__next)
      101    0.000    0.000    0.000    0.000 _parser.py:247(match)
      120    0.000    0.000    0.000    0.000 _parser.py:252(get)
        5    0.000    0.000    0.000    0.000 _parser.py:265(getuntil)
       33    0.000    0.000    0.000    0.000 _parser.py:284(tell)
        5    0.000    0.000    0.000    0.000 _parser.py:295(checkgroupname)
        5    0.000    0.000    0.000    0.000 _parser.py:307(_class_escape)
        8    0.000    0.000    0.000    0.000 _parser.py:367(_escape)
       11    0.000    0.000    0.000    0.000 _parser.py:444(_uniq)
     11/4    0.000    0.000    0.002    0.000 _parser.py:447(_parse_sub)
     17/4    0.001    0.000    0.002    0.000 _parser.py:507(_parse)
        4    0.000    0.000    0.000    0.000 _parser.py:73(__init__)
       20    0.000    0.000    0.000    0.000 _parser.py:79(groups)
        6    0.000    0.000    0.000    0.000 _parser.py:82(opengroup)
        6    0.000    0.000    0.000    0.000 _parser.py:94(closegroup)
        4    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
        4    0.000    0.000    0.002    0.001 _parser.py:970(parse)
        2    0.000    0.000    0.000    0.000 _parser.py:997(parse_template)
        1    0.000    0.000    0.011    0.011 _strptime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _strptime.py:107(__calc_date_time)
        1    0.000    0.000    0.000    0.000 _strptime.py:128(<listcomp>)
        1    0.000    0.000    0.000    0.000 _strptime.py:152(__calc_timezone)
        1    0.000    0.000    0.000    0.000 _strptime.py:170(TimeRE)
        1    0.000    0.000    0.002    0.002 _strptime.py:173(__init__)
        4    0.000    0.000    0.000    0.000 _strptime.py:210(<genexpr>)
        6    0.000    0.000    0.000    0.000 _strptime.py:219(__seqToRE)
       49    0.000    0.000    0.000    0.000 _strptime.py:234(<genexpr>)
        4    0.000    0.000    0.001    0.000 _strptime.py:238(pattern)
   723311    1.044    0.000    9.754    0.000 _strptime.py:26(_getlang)
        1    0.000    0.000    0.002    0.002 _strptime.py:261(compile)
        1    0.000    0.000    0.000    0.000 _strptime.py:30(LocaleTime)
   723309   17.455    0.000   32.882    0.000 _strptime.py:309(_strptime)
        1    0.000    0.000    0.001    0.001 _strptime.py:49(__init__)
   723309    3.539    0.000   36.421    0.000 _strptime.py:565(_strptime_datetime)
        1    0.000    0.000    0.000    0.000 _strptime.py:80(__calc_weekday)
        1    0.000    0.000    0.000    0.000 _strptime.py:83(<listcomp>)
        1    0.000    0.000    0.000    0.000 _strptime.py:84(<listcomp>)
        1    0.000    0.000    0.000    0.000 _strptime.py:88(__calc_month)
        1    0.000    0.000    0.000    0.000 _strptime.py:90(<listcomp>)
        1    0.000    0.000    0.000    0.000 _strptime.py:91(<listcomp>)
        1    0.000    0.000    0.000    0.000 _strptime.py:95(__calc_am_pm)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:150(Calendar)
        1    0.000    0.000    0.000    0.000 calendar.py:156(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:162(setfirstweekday)
        1    0.000    0.000    0.000    0.000 calendar.py:26(IllegalMonthError)
        1    0.000    0.000    0.000    0.000 calendar.py:295(TextCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:33(IllegalWeekdayError)
        1    0.000    0.000    0.000    0.000 calendar.py:412(HTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:52(_localized_month)
        1    0.000    0.000    0.000    0.000 calendar.py:54(<listcomp>)
        1    0.000    0.000    0.000    0.000 calendar.py:548(different_locale)
        2    0.000    0.000    0.000    0.000 calendar.py:55(<lambda>)
        2    0.000    0.000    0.000    0.000 calendar.py:57(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:573(LocaleTextCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:594(LocaleHTMLCalendar)
       26    0.000    0.000    0.000    0.000 calendar.py:60(__getitem__)
        1    0.000    0.000    0.000    0.000 calendar.py:71(_localized_day)
        1    0.000    0.000    0.000    0.000 calendar.py:74(<listcomp>)
        2    0.000    0.000    0.000    0.000 calendar.py:76(__init__)
       14    0.000    0.000    0.000    0.000 calendar.py:79(__getitem__)
    41306    0.296    0.000    2.193    0.000 db_access.py:110(order_id)
        1    0.000    0.000    2.244    2.244 db_access.py:12(db_close)
    10299    0.049    0.000    0.205    0.000 db_access.py:139(ownership_id)
    20351    0.097    0.000    0.684    0.000 db_access.py:163(service_id)
   194828    0.797    0.000   24.158    0.000 db_access.py:187(add_holder)
   194828    0.471    0.000    1.788    0.000 db_access.py:219(add_lic_status_name)
  1088047    7.247    0.000   26.909    0.000 db_access.py:23(get_saved_id)
  2429782    1.660    0.000    1.660    0.000 db_access.py:24(<lambda>)
   236411    0.539    0.000    4.870    0.000 db_access.py:246(add_order)
   194828    0.298    0.000    1.348    0.000 db_access.py:273(add_ownership)
   194828    0.357    0.000    2.138    0.000 db_access.py:300(add_service)
   194828    0.656    0.000    8.096    0.000 db_access.py:327(add_license)
   204665    1.568    0.000   13.892    0.000 db_access.py:37(holder_id)
     2241    0.011    0.000    0.043    0.000 db_access.py:86(lic_status_name_id)
        8    0.000    0.000    0.000    0.000 enum.py:1094(__new__)
        1    0.000    0.000    0.000    0.000 enum.py:1246(value)
        8    0.000    0.000    0.000    0.000 enum.py:1503(__and__)
        1    0.000    0.000    0.000    0.000 enum.py:192(__get__)
        8    0.000    0.000    0.000    0.000 enum.py:689(__call__)
        1    0.000    0.000    0.000    0.000 fileinput.py:184(__init__)
        1    0.000    0.000    0.000    0.000 fileinput.py:246(__iter__)
   194829    0.548    0.000    3.086    0.000 fileinput.py:249(__next__)
